hour,CT,ME,NEMA,NH,RI,SEMA,VT,WCMA
1,980,2136,1236,1565,680,2735,518,939
2,954,2032,1171,1495,644,2584,498,898
3,942,1990,1145,1466,628,2519,490,875
4,943,1976,1136,1454,621,2504,488,876
5,968,2010,1156,1472,631,2544,501,908
6,1078,2140,1274,1608,684,2788,550,1012
7,1262,2461,1484,1866,791,3224,640,1180
8,1352,2743,1656,2056,903,3640,705,1317
9,1370,2888,1729,2144,948,3813,718,1366
10,1381,2966,1760,2186,979,3880,725,1386
11,1382,3005,1776,2206,994,3946,727,1398
12,1372,3022,1773,2207,997,3939,726,1396
13,1354,3014,1754,2191,984,3896,717,1384
14,1340,2995,1748,2180,974,3882,716,1376
15,1318,2958,1722,2150,964,3828,703,1355
16,1304,2936,1702,2120,946,3776,689,1338
17,1312,2923,1692,2109,938,3758,685,1335
18,1327,2904,1704,2094,932,3748,684,1340
19,1338,2863,1728,2084,930,3722,684,1340
20,1380,2910,1798,2132,964,3809,694,1383
21,1388,2957,1842,2169,988,3950,710,1400
22,1286,2821,1730,2060,936,3718,672,1301
23,1148,2577,1536,1877,843,3343,606,1156
24,1042,2315,1352,1692,745,2992,550,1022
25,980,2134,1234,1564,677,2722,516,938
26,954,2028,1170,1490,643,2584,498,896
27,942,1985,1141,1458,628,2514,488,874
28,939,1973,1132,1446,620,2494,487,874
29,966,2000,1153,1469,630,2538,500,900
30,1075,2138,1272,1595,681,2780,546,1010
31,1254,2428,1461,1822,786,3176,636,1180
32,1350,2733,1634,2046,902,3577,702,1312
33,1368,2880,1726,2126,942,3780,716,1366
34,1381,2964,1758,2178,974,3874,725,1384
35,1380,3000,1772,2203,993,3938,726,1396
36,1370,3018,1772,2206,992,3930,724,1394
37,1352,3012,1754,2184,980,3890,714,1382
38,1338,2992,1746,2178,973,3880,714,1374
39,1316,2951,1720,2148,964,3826,701,1354
40,1303,2933,1700,2118,946,3776,688,1336
41,1312,2920,1690,2104,938,3752,684,1334
42,1327,2900,1688,2086,932,3746,682,1337
43,1334,2858,1727,2079,927,3718,679,1338
44,1378,2908,1796,2125,960,3806,686,1380
45,1388,2954,1836,2168,984,3932,709,1396
46,1286,2816,1729,2058,934,3709,672,1300
47,1146,2574,1535,1870,842,3339,605,1155
48,1040,2315,1350,1689,743,2987,548,1022
49,978,2134,1230,1563,676,2720,514,938
50,952,2028,1160,1487,642,2574,495,894
51,940,1982,1141,1453,624,2508,488,874
52,936,1972,1130,1439,619,2488,484,874
53,966,1998,1151,1468,630,2536,498,900
54,1078,2138,1272,1600,681,2775,546,1010
55,1257,2450,1484,1846,787,3199,636,1180
56,1352,2734,1655,2048,902,3611,702,1317
57,1370,2880,1729,2134,942,3795,716,1366
58,1380,2964,1758,2183,974,3873,725,1382
59,1380,2996,1770,2203,992,3934,726,1396
60,1370,3018,1771,2206,992,3928,724,1392
61,1352,3010,1753,2184,980,3890,714,1378
62,1338,2995,1745,2178,973,3880,714,1372
63,1316,2954,1719,2150,964,3826,700,1352
64,1303,2936,1700,2120,946,3776,688,1336
65,1312,2923,1690,2104,938,3752,684,1334
66,1327,2900,1688,2086,932,3746,682,1337
67,1334,2858,1727,2079,927,3718,679,1338
68,1378,2908,1794,2125,960,3806,686,1380
69,1392,2957,1842,2169,988,3950,710,1400
70,1288,2821,1730,2060,936,3714,672,1301
71,1148,2572,1534,1874,842,3342,605,1155
72,1041,2313,1350,1691,743,2985,546,1022
73,978,2134,1227,1563,676,2718,514,938
74,951,2027,1161,1488,642,2576,495,895
75,938,1981,1136,1453,624,2506,486,874
76,935,1970,1130,1439,619,2484,484,874
77,967,1996,1153,1469,630,2536,498,900
78,1078,2138,1272,1600,684,2775,546,1012
79,1266,2461,1500,1868,788,3250,640,1184
80,1357,2752,1676,2077,903,3664,705,1321
81,1378,2890,1730,2148,952,3813,718,1368
82,1381,2966,1758,2188,979,3874,725,1386
83,1386,3000,1771,2206,993,3934,726,1398
84,1372,3018,1772,2212,997,3932,726,1396
85,1356,3012,1754,2191,986,3890,717,1382
86,1342,3000,1746,2186,978,3882,715,1374
87,1320,2962,1720,2156,969,3828,702,1355
88,1305,2939,1700,2126,950,3778,689,1338
89,1316,2925,1692,2112,941,3759,686,1336
90,1327,2900,1695,2094,932,3748,684,1340
91,1334,2860,1728,2079,930,3718,679,1338
92,1378,2902,1794,2125,960,3806,686,1380
93,1394,2962,1842,2182,995,3959,712,1410
94,1290,2821,1730,2063,936,3718,673,1303
95,1148,2568,1532,1877,843,3342,605,1155
96,1041,2308,1348,1691,742,2980,546,1020
